"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000164647",1923.07435203484,1.56561803941558,0.110455953503548,14.1741390097663,1.32457732938032e-45,3.61946011512415e-43,"STEAP1","26872"
"ENSG00000068383",1249.03103552514,1.3793179260586,0.0976419451965326,14.1262847978123,2.6158512245604e-45,7.03623106731363e-43,"INPP5A","3632"
"ENSG00000196517",230.075442951998,-2.23064135838998,0.158418078784735,-14.0807247222147,4.98954648372124e-45,1.32146219565017e-42,"SLC6A9","6536"
"ENSG00000136999",436.644209388197,-2.55418891037263,0.181505185748294,-14.0722641055265,5.62395959939609e-45,1.46691612884248e-42,"CCN3","4856"
"ENSG00000156675",1633.84346699013,1.54546134092921,0.109886352955136,14.0641790301312,6.30502945879655e-45,1.62001615124153e-42,"RAB11FIP1","80223"
"ENSG00000167641",231.929528238779,2.89424190694162,0.209560751619641,13.8109922042786,2.18797040490309e-43,5.53910448829511e-41,"PPP1R14A","94274"
"ENSG00000134363",2911.95284015344,-1.8093636205741,0.131635047075953,-13.7453030994862,5.43449840579997e-43,1.35586797182386e-40,"FST","10468"
"ENSG00000206538",12772.1475274224,1.36444481350235,0.0993154697027551,13.7384922770445,5.97062350162177e-43,1.4683469082917e-40,"VGLL3","389136"
"ENSG00000109906",385.405186338883,7.35093700823005,0.536521779369866,13.7010971238923,1.00001750911704e-42,2.42469034076759e-40,"ZBTB16","7704"
"ENSG00000227051",4623.71363769477,-1.15289680641791,0.0842275521322647,-13.6878821387031,1.19954815130412e-42,2.86808630898616e-40,"C14orf132","56967"
"ENSG00000126016",387.062222197891,-2.37589606389288,0.173812451788554,-13.6693087258398,1.54859311315216e-42,3.65192197848142e-40,"AMOT","154796"
"ENSG00000149218",2029.56377713373,1.92463263217377,0.141022491998572,13.6476997739712,2.08351917498695e-42,4.84699764829734e-40,"ENDOD1","23052"
"ENSG00000130513",451.73765855948,-1.8702506509487,0.137381037889119,-13.6136011176316,3.32450445256418e-42,7.63084588678565e-40,"GDF15","9518"
"ENSG00000106484",678.677535549806,-1.86549399537529,0.1371480668343,-13.6020436775762,3.89398325253677e-42,8.82038443321322e-40,"MEST","4232"
"ENSG00000185432",3890.47710074705,2.24760775241729,0.165702728425988,13.5640962207886,6.53805554988379e-42,1.46172241936688e-39,"METTL7A","25840"
"ENSG00000124762",8032.61588148102,-1.00976709965061,0.0746587695129889,-13.5250970011625,1.11196882895847e-41,2.45417222955385e-39,"CDKN1A","1026"
"ENSG00000150907",679.64592533058,2.22607237473672,0.164634146976777,13.5213284462228,1.17042957501212e-41,2.55049938402958e-39,"FOXO1","2308"
"ENSG00000163378",1807.50619406367,1.26005274468702,0.0934409107267712,13.4850220838655,1.9160811422385e-41,4.12316710795446e-39,"EOGT","285203"
"ENSG00000151726",1461.94960629753,1.60071703105844,0.119226637231584,13.4258339262662,4.2675314987589e-41,9.06982157421414e-39,"ACSL1","2180"
"ENSG00000169715",554.78865454756,2.22330838355233,0.165726834127728,13.4155002432424,4.90611377892959e-41,1.02998474029601e-38,"MT1E","4493"
"ENSG00000221869",1965.63433547531,1.49805935004039,0.111869145327228,13.3911754278485,6.80944776549906e-41,1.41234509979598e-38,"CEBPD","1052"
"ENSG00000013293",245.012735351263,-2.88455658743177,0.21589019027401,-13.3612212012536,1.01878894840552e-40,2.08791092223822e-38,"SLC7A14","57709"
"ENSG00000196975",4914.83792588278,1.18330163593723,0.0885870176433573,13.3575061833675,1.07092198162427e-40,2.16893198984257e-38,"ANXA4","307"
"ENSG00000185950",1977.16150283538,2.12244517002866,0.160824686928963,13.1972597650145,9.09849556731339e-40,1.82128606036395e-37,"IRS2","8660"
"ENSG00000145390",8454.55822825567,2.14571403040783,0.163149494819529,13.1518276092816,1.66110285269645e-39,3.28688340335281e-37,"USP53","54532"
"ENSG00000131831",1018.73098211239,1.42672543561755,0.109127788959691,13.0738966602223,4.64251131565152e-39,8.9987887612946e-37,"RAI2","10742"
"ENSG00000147027",12611.7528376031,1.16298450264709,0.0889557850457672,13.0737365990165,4.65229276651304e-39,8.9987887612946e-37,"TMEM47","83604"
"ENSG00000137672",656.190874519215,1.95254154281991,0.149508938575969,13.0596977105003,5.59495064446691e-39,1.07018972604998e-36,"TRPC6","7225"
"ENSG00000146122",1944.83214809293,1.6796829120941,0.129595424910478,12.9609738403527,2.03645622589218e-38,3.85248284931141e-36,"DAAM2","23500"
"ENSG00000119138",1685.31196989729,2.08117981046114,0.161375832763986,12.8964775878486,4.71145201094983e-38,8.81604851831536e-36,"KLF9","687"
"ENSG00000163110",1315.7717785726,1.60367781876117,0.124552342510321,12.875533180986,6.18107516659404e-38,1.14416353755824e-35,"PDLIM5","10611"
"ENSG00000020577",3108.75231895782,1.20152896641129,0.0935726457754068,12.8406005457536,9.71181579004042e-38,1.77860541303772e-35,"SAMD4A","23034"
"ENSG00000071282",3664.5554306815,1.60349666855606,0.125537449427671,12.7730543823094,2.31873560678023e-37,4.20179299691807e-35,"LMCD1","29995"
"ENSG00000138735",6863.21923577415,-1.18061621797744,0.0925613402409382,-12.7549602771987,2.92523853417441e-37,5.24562305893879e-35,"PDE5A","8654"
"ENSG00000101825",4776.40107679397,-1.32553398637578,0.104393353169686,-12.6974941040661,6.10534773227773e-37,1.0835418681563e-34,"MXRA5","25878"
"ENSG00000246430",2165.05870112503,2.04946724953612,0.16237279298948,12.621986798422,1.597396370567e-36,2.80603862441948e-34,"LINC00968","100507632"
"ENSG00000099998",506.777113103221,2.37906602918175,0.188681445611656,12.6089029128935,1.88600071298872e-36,3.2795456842526e-34,"GGT5","2687"
"ENSG00000046653",1091.46103985644,2.3942408903015,0.190539371435128,12.5655966652365,3.26403280531214e-36,5.61903247434485e-34,"GPM6B","2824"
